key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
#,Name,,Icon,ActionCategory,,Animation{Start},VFX,Animation{End},ActionTimeline{Hit},,ClassJob,BehaviourType,ClassJobLevel,IsRoleAction,Range,CanTargetSelf,CanTargetParty,CanTargetFriendly,CanTargetHostile,,,TargetArea,,,,CanTargetDead,,CastType,EffectRange,XAxisModifier,,PrimaryCost{Type},PrimaryCost{Value},SecondaryCost{Type},SecondaryCost{Value},Action{Combo},PreservesCombo,Cast<100ms>,,Recast<100ms>,CooldownGroup,AdditionalCooldownGroup,MaxCharges,AttackType,Aspect,ActionProcStatus,,Status{GainSelf},UnlockLink,ClassJobCategory,,,AffectsPosition,Omen,,IsPvP,,,,,,,,,,,,IsPlayerAction,,,
int32,str,bit&01,Image,ActionCategory,byte,ActionCastTimeline,ActionCastVFX,ActionTimeline,ActionTimeline,byte,ClassJob,byte,byte,bit&02,bit&04,sbyte,bit&08,bit&10,bit&20,bit&40,bit&80,bit&01,bit&02,bit&04,bit&08,sbyte,bit&10,bit&20,byte,byte,byte,bit&40,byte,uint16,Row,Action,uint16,bit&80,uint16,byte,uint16,byte,byte,AttackType,sbyte,ActionProcStatus,uint16,Status,Row,ClassJobCategory,byte,byte,bit&01,Omen,uint16,uint16,bit&04,bit&08,bit&10,bit&20,bit&40,bit&80,bit&01,bit&02,bit&04,byte,bit&08,bit&10,bit&20,bit&40,byte
0,"",False,405,0,0,0,0,0,0,0,-1,0,0,False,False,0,False,False,False,False,False,False,False,False,False,0,True,True,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,True,False,False,True,False,False,True,0,False,False,False,False,0
1,"Key Item",False,405,8,0,2,0,85,1875,0,0,0,0,False,False,3,False,False,False,True,True,True,False,False,False,0,True,True,1,0,0,True,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,True,False,False,0
2,"Interaction",False,405,8,0,1,0,0,1875,0,0,0,0,False,False,3,False,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
3,"Sprint",False,104,10,0,0,0,368,1875,0,0,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,True,0,0,600,56,0,0,0,0,0,0,0,0,1,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,True,False,False,0
4,"Mount",False,405,5,0,150,0,13302,1875,0,0,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,False,10,0,0,0,0,0,0,0,0,0,0,0,1,7,False,False,0,0,False,False,False,False,True,True,False,False,True,0,False,True,False,False,0
5,"Teleport",False,111,11,0,1,1,164,1875,0,0,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,0,0,0,0,4,1,0,False,False,0,0,False,False,True,False,True,True,True,False,True,0,True,True,False,False,0
6,"Return",False,112,11,0,1,2,163,1875,0,0,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,False,50,0,9000,57,0,0,0,0,0,0,0,1,1,0,False,False,0,0,False,False,True,False,True,True,True,False,True,0,True,True,False,False,0
7,"attack",False,405,1,0,0,0,-1,1875,0,0,0,0,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,0,0,0,True,0,0,0,0,0,0,-1,7,0,1,0,0,1,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
