key,0,1,2,3,4
#,LegacyQuestID,Text,String,SortKey,Genre
int32,uint16,str,str,uint16,uint32
0,0,"","",0,0
1,0,"Shapeless Melody","",1,344
2,1,"Treasures of the Main","",2,344
3,2,"Legends Adrift","",3,344
4,3,"Never the Twain Shall Meet","",4,344
5,4,"Sundered Skies","",5,344
6,5,"Souls Gone Wild","",6,344
7,6,"Whispers in the Wood","",7,344
8,7,"Beckon of the Elementals","",8,344
9,8,"Flowers for All","",9,344
10,9,"Court in the Sands","",10,344
11,10,"Golden Sacrifices","",11,344
12,11,"Calamity Cometh","",12,344
13,12,"Fade to White","",13,344
14,13,"Together We Stand","",14,344
15,14,"Toll of the Warden","",15,344
16,15,"Forever Taken","",16,344
17,16,"Lord Errant","",17,344
18,17,"Of Men They Sing","",18,344
19,18,"Futures Perfect","",19,344
20,59,"The House Always Wins","",20,346
21,60,"Here There Be Pirates","",21,346
22,61,"Two Sides to Every Chip","",22,346
23,79,"All Bark and No Bite","",23,346
24,80,"Unalienable Rights","",24,346
25,81,"Thrill of the Fight","",25,346
26,99,"Bloody Baptism","",26,346
27,100,"Two-man Crew","",27,346
28,101,"Captain's Orders","",28,346
29,139,"Getting Started","",29,346
30,140,"Getting Started","",30,346
31,141,"Getting Started","",31,346
32,143,"Selecting a Different Path Companion","",32,346
33,159,"Filling the Quiver","",33,346
34,160,"The Foreboding Forest","",34,346
35,161,"There Can Be Only One","",35,346
36,179,"A Wailing Welcome","",36,346
37,180,"Culture Shock","",37,346
38,181,"Necessary Evils","",38,346
39,239,"The Big Payback","",39,346
40,240,"Revelry in Rivalry","",40,346
41,241,"Law and the Order","",41,346
42,259,"Dendrological Duties","",42,346
43,260,"Good Knight, Sweet Dreams","",43,346
44,261,"The Call of Nature","",44,346
45,299,"The Mouths of Babes","",45,346
46,300,"Hide and Seek Shenanigans","",46,346
47,301,"Spanning the Spectrum","",47,346
48,319,"An Ear for Quality","",48,346
49,320,"Song of the Sirens","",49,346
50,321,"The Sound of Silence","",50,346
51,359,"She Walks in Beauty","",51,346
52,360,"F'lhaminn's Flower","",52,346
53,361,"Struck Through the Heart","",53,346
54,379,"The Silent Partners","",54,346
55,380,"Designer Imposters","",55,346
56,381,"Head of the Class","",56,346
57,399,"Hoodwinked","",57,346
58,400,"Dance the Night Away","",58,346
59,401,"A Fruitful Murder","",59,346
60,419,"Sleep, Cousin of Death","",60,346
61,420,"The Boy and the Dragon Gay","",61,346
62,421,"Dream On, Dream Away","",62,346
63,439,"Showdown","",63,346
64,440,"Mystery of the Gastronome Gone Home","",64,346
65,441,"Something in the Soup","",65,346
66,459,"A Piece of History","",66,346
67,460,"Little Saboteurs","",67,346
68,461,"Runaway Little Girl","",68,346
69,479,"Gridanian Roots","",69,346
70,480,"The Grass is Always Greener","",70,346
71,481,"A Moogle Bouquet","",71,346
72,499,"To Fight a Fishback","",72,346
73,500,"The Beast of the Barrel","",73,346
74,501,"Polishing the Mast","",74,346
75,626,"Ifrit Bleeds, We Can Kill It","",75,345
76,632,"Assessing the Damage","",76,345
77,633,"Bridging the Gap","",77,345
78,635,"Revenge on the Reavers","",78,345
79,637,"Till Death Do Us Part","",79,345
80,638,"Beryl Overboard","",80,345
81,639,"Have You Seen My Son","",81,345
82,640,"Food for Thought","",82,345
83,641,"Seashells by the Seashore","",83,345
84,642,"Fishing for Answers","",84,345
85,643,"Moonstruck","",85,345
86,645,"A Misty Past","",86,345
87,647,"Carving a Name","",87,345
88,652,"The Tug of the Whorl","",88,345
89,653,"Proceed with Caution","",89,345
90,654,"Playing with Fire","",90,345
