key,0,1,2,3,4
#,,,,,
int32,byte,byte,int32,str,str
0,0,0,-1,"",""
1,1,4,82201,"Enhanced Phantom Guard","Improves <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Phantom Guard<UIGlow>01</UIGlow><UIForeground>01</UIForeground>'s damage reduction effect to 90%."
2,1,5,82202,"Enhanced Pray","Increases the healing potency of <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Pray<UIGlow>01</UIGlow><UIForeground>01</UIForeground> to 5,000."
3,2,3,82203,"Enhanced Rage","Grants the effect of <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Pent-up Rage<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, increasing the potency of <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Deadly Blow<UIGlow>01</UIGlow><UIForeground>01</UIForeground> based on the amount of damage you have taken while the effect is active.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Duration: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>15s"
4,3,4,82204,"Enhanced Phantom Kick","Improves <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Phantom Kick<UIGlow>01</UIGlow><UIForeground>01</UIForeground>'s damage increase to 7%."
5,3,6,82205,"Enhanced Phantom Kick II","Improves <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Phantom Kick<UIGlow>01</UIGlow><UIForeground>01</UIForeground>'s damage increase to 9%."
6,4,3,82206,"Enhanced Phantom Aim","Improves <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Phantom Aim<UIGlow>01</UIGlow><UIForeground>01</UIForeground>'s critical hit rate and direct hit rate increase to 30%, and guarantees all attacks land."
7,4,5,82207,"Enhanced Phantom Aim II","Improves <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Phantom Aim<UIGlow>01</UIGlow><UIForeground>01</UIForeground>'s critical hit rate and direct hit rate increase to 50%, and guarantees all attacks land."
8,5,5,82208,"Enhanced Iainuki","Increases the potency of <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Iainuki<UIGlow>01</UIGlow><UIForeground>01</UIForeground> to 500, and increases chance to instantly kill target to 10%."
9,6,2,82209,"Enhanced Vocals","Increases the effectiveness of songs in accordance with your Phantom Bard level."
10,12,6,82212,"Lockpicker","Allows you to open locked doors in dungeons."
11,9,5,82211,"Enhanced Phantom Fire","Grants a 5% chance to instantly kill targets when executing <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Phantom Fire<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, with some exceptions."
12,7,5,82210,"Enhanced Bell","Increases the effectiveness of <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Battle Bell<UIGlow>01</UIGlow><UIForeground>01</UIForeground> to 5%, and increases the healing potency of <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Ringing Respite<UIGlow>01</UIGlow><UIForeground>01</UIForeground> to 3,000."
13,16,5,82213,"First Strike","Grants <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>First Strike<UIGlow>01</UIGlow><UIForeground>01</UIForeground> when entering combat.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>First Strike Effect: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Weaponskill cast time and recast time, spell cast time and recast time, and auto-attack delay are reduced
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Duration: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>25s"
14,19,4,82214,"Enhanced Occult Jump","Increases potency of <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Occult Jump<UIGlow>01</UIGlow><UIForeground>01</UIForeground> to 500, and increases potency of reduced damage taken effect to 90%."
15,21,1,82215,"Occult Learning I","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Occult Missile<UIGlow>01</UIGlow><UIForeground>01</UIForeground> and <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Occult Aqua Breath<UIGlow>01</UIGlow><UIForeground>01</UIForeground> are now learnable actions.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Missile Effect: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Delivers an attack with a 35% chance to deal damage equal to 75% of target's current HP, with some exceptions
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Occult Aqua Breath Effect: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Deals unaspected damage to target and all enemies nearby it"
16,21,2,82216,"Occult Learning II","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Occult Aero II<UIGlow>01</UIGlow><UIForeground>01</UIForeground> and <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Occult Mighty Guard<UIGlow>01</UIGlow><UIForeground>01</UIForeground> are now learnable actions.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Occult Aero II Effect: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Deals wind damage to target
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Occult Mighty Guard Effect: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Reduces damage taken by self and nearby party members by 20%"
