key,0,1
#,,
int32,str,str
0,"Slay a Turali ratel",""
1,"Slay a megamaguey",""
2,"Slay a longjaw",""
3,"Slay a Chirwagur engraver",""
4,"Receive highest rating possible in FATEs: <Value>IntegerParameter(1)</Value>/<Value>IntegerParameter(2)</Value>",""
5,"Slay an uolon",""
6,"Slay an ocelot",""
7,"Slay a paper wasp",""
8,"Slay a lesser apollyon",""
9,"Receive highest rating possible in FATEs: <Value>IntegerParameter(1)</Value>/<Value>IntegerParameter(2)</Value>",""
10,"Slay a vawtsaral br'aax",""
11,"Slay a t'ohsoq",""
12,"Slay a branchbearer",""
13,"Slay a blue leafkin",""
14,"Receive highest rating possible in FATEs: <Value>IntegerParameter(1)</Value>/<Value>IntegerParameter(2)</Value>",""
15,"Slay a tumbleclaw",""
16,"Slay a ceratoraptor",""
17,"Slay a rroneek",""
18,"Slay a nopalitender",""
19,"Receive highest rating possible in FATEs: <Value>IntegerParameter(1)</Value>/<Value>IntegerParameter(2)</Value>",""
20,"Slay a cauahealoa",""
21,"Slay a katobleps",""
22,"Slay a gomphotherium",""
23,"Slay a woolback",""
24,"Receive highest rating possible in FATEs: <Value>IntegerParameter(1)</Value>/<Value>IntegerParameter(2)</Value>",""
25,"Slay an acrocat",""
26,"Slay a matchlock scorpion",""
27,"Slay an everlasting yew",""
28,"Slay a fluid soul",""
29,"Receive highest rating possible in FATEs: <Value>IntegerParameter(1)</Value>/<Value>IntegerParameter(2)</Value>",""
30,"Clear <Sheet(InstanceContent,94,3)/>",""
31,"Clear <Sheet(InstanceContent,92,3)/>",""
32,"Clear <Sheet(InstanceContent,96,3)/>",""
33,"Clear <Sheet(InstanceContent,97,3)/>",""
34,"Clear <Sheet(InstanceContent,93,3)/>",""
35,"Clear <Sheet(InstanceContent,95,3)/>",""
36,"Clear <Sheet(InstanceContent,98,3)/>","Available after completing the sidequest “It Belongs in a Museum.”"
37,"Clear <InstanceContent><Sheet(InstanceContent,99,3)/></InstanceContent>","Available after completing the sidequest “Something Stray in the Neighborhood.”"
38,"Clear <Sheet(InstanceContent,100,3)/>","Available after progressing to a certain point in the main scenario."
39,"Clear <Sheet(InstanceContent,101,3)/>","Available after progressing to a certain point in the main scenario."
40,"Clear <Sheet(InstanceContent,102,3)/>","Available after progressing to a certain point in the main scenario."
41,"Clear <Sheet(InstanceContent,103,3)/>","Available after progressing to a certain point in the main scenario."
42,"Clear <Sheet(InstanceContent,104,3)/>","Available after progressing to a certain point in the main scenario."
43,"Clear <Sheet(InstanceContent,30144,3)/>","Available after completing the Chronicles of a New Era quest “An Otherworldly Encounter.”"
44,"Clear <Sheet(InstanceContent,30153,3)/>","Available after completing the Chronicles of a New Era quest “Dreams of Paradise.”"
45,"Clear <Sheet(InstanceContent,30163,3)/>","Available after completing the Chronicles of a New Era quest “The Hollow Promise.”"
46,"Clear <Sheet(InstanceContent,20093,3)/>",""
47,"Clear <Sheet(InstanceContent,20096,3)/>",""
48,"Clear <Sheet(InstanceContent,20095,3)/>",""
49,"Clear <Sheet(InstanceContent,20100,3)/>","Available after progressing to a certain point in the main scenario."
50,"Clear <Sheet(InstanceContent,20104,3)/>","Available after progressing to a certain point in the main scenario."
51,"Clear <Sheet(InstanceContent,20106,3)/>","Available after progressing to a certain point in the main scenario."
52,"Clear <Sheet(InstanceContent,20108,3)/>","Available after progressing to a certain point in the main scenario."
53,"Clear AAC Light-heavyweight M1","Available after progressing to a certain point in the Chronicles of a New Era quest series beginning with “A New Challenger Appears.”"
54,"Clear AAC Light-heavyweight M2","Available after progressing to a certain point in the Chronicles of a New Era quest series beginning with “A New Challenger Appears.”"
55,"Clear AAC Light-heavyweight M3","Available after progressing to a certain point in the Chronicles of a New Era quest series beginning with “A New Challenger Appears.”"
56,"Clear AAC Light-heavyweight M4","Available after progressing to a certain point in the Chronicles of a New Era quest series beginning with “A New Challenger Appears.”"
57,"Clear AAC Cruiserweight M1","Available after progressing to a certain point in the Chronicles of a New Era quest series beginning with “A New Challenger Appears.”"
58,"Clear AAC Cruiserweight M2","Available after progressing to a certain point in the Chronicles of a New Era quest series beginning with “A New Challenger Appears.”"
59,"Clear AAC Cruiserweight M3","Available after progressing to a certain point in the Chronicles of a New Era quest series beginning with “A New Challenger Appears.”"
60,"Clear AAC Cruiserweight M4","Available after progressing to a certain point in the Chronicles of a New Era quest series beginning with “A New Challenger Appears.”"
61,"Clear AAC Heavyweight M1","Available after progressing to a certain point in the Chronicles of a New Era quest series beginning with “A New Challenger Appears.”"
62,"Clear AAC Heavyweight M2","Available after progressing to a certain point in the Chronicles of a New Era quest series beginning with “A New Challenger Appears.”"
63,"Clear AAC Heavyweight M3","Available after progressing to a certain point in the Chronicles of a New Era quest series beginning with “A New Challenger Appears.”"
64,"Clear AAC Heavyweight M4","Available after progressing to a certain point in the Chronicles of a New Era quest series beginning with “A New Challenger Appears.”"
