key,0,1,2,3,4,5
#,,,,,,
int32,str,byte,uint32,uint32,uint16,uint16
0,"Complete a stellar mission.",1,1,0,50,0
1,"Complete three types of stellar missions.",1,3,0,75,1
2,"Achieve a Gold Star rating on a stellar mission.",1,1,0,75,2
3,"Complete a critical mission.",1,1,0,50,3
4,"Complete a mech op.",1,1,0,100,4
5,"Draw a cosmic fortune.",1,1,0,50,5
6,"Complete 10 stellar missions on the moon.",2,10,1,300,6
7,"Complete 50 stellar missions on the moon.",2,50,1,450,7
8,"Complete 100 stellar missions on the moon.",2,100,1,900,8
9,"Complete 500 stellar missions on the moon.",2,500,1,1500,9
10,"Complete 10 unique stellar missions on the moon.",2,10,1,300,10
11,"Complete 50 unique stellar missions on the moon.",2,50,1,900,11
12,"Complete 100 unique stellar missions on the moon.",2,100,1,2400,12
13,"Complete 10 unique stellar missions on the moon with a Gold Star rating.",2,10,1,300,13
14,"Complete 50 unique stellar missions on the moon with a Gold Star rating.",2,50,1,900,14
15,"Complete 100 unique stellar missions on the moon with a Gold Star rating.",2,100,1,2400,15
16,"Complete 1 critical mission on the moon.",2,1,2,500,16
17,"Complete 10 critical missions on the moon.",2,10,2,1000,17
18,"Complete 30 critical missions on the moon.",2,30,2,3000,18
19,"Complete 1 mech op as a pilot on the moon.",2,1,1,1500,22
20,"Complete 5 mech ops as a pilot on the moon.",2,5,1,3000,23
21,"Complete 10 mech ops as a pilot on the moon.",2,10,1,4500,24
22,"Complete 5 mech ops as a ground supporter on the moon.",2,5,1,300,25
23,"Complete 20 mech ops as a ground supporter on the moon.",2,20,1,900,26
24,"Complete 50 mech ops as a ground supporter on the moon.",2,50,1,2100,27
25,"Complete three unique class D missions for carpenter on the moon.",2,3,3,50,28
26,"Complete four unique class C missions for carpenter on the moon.",2,4,3,100,29
27,"Achieve a Gold Star rating on three unique class B missions for carpenter on the moon.",2,3,3,200,30
28,"Complete three unique class D missions for blacksmith on the moon.",2,3,7,50,31
29,"Complete four unique class C missions for blacksmith on the moon.",2,4,7,100,32
30,"Achieve a Gold Star rating on three unique class B missions for blacksmith on the moon.",2,3,7,200,33
31,"Complete three unique class D missions for armorer on the moon.",2,3,11,50,34
32,"Complete four unique class C missions for armorer on the moon.",2,4,11,100,35
33,"Achieve a Gold Star rating on three unique class B missions for armorer on the moon.",2,3,11,200,36
34,"Complete three unique class D missions for goldsmith on the moon.",2,3,15,50,37
35,"Complete four unique class C missions for goldsmith on the moon.",2,4,15,100,38
36,"Achieve a Gold Star rating on three unique class B missions for goldsmith on the moon.",2,3,15,200,39
