key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
#,,,,,,,,,,,,,,
int32,byte,uint32,uint16,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str,str,str
0,0,0,0,"",0,"",0,0,1,0,0,"","",""
1,1,243001,98,"belt of constitution",0,"belts of constitution",0,0,1,0,0,"Belt of Constitution","Maximum HP +20%","Increases maximum HP."
2,1,243002,35,"ring of sacrifice",0,"rings of sacrifice",0,0,1,0,0,"Ring of Sacrifice","Revives beastmaster upon KO by sacrificing the summoned familiar.
Ineffective if a familiar is not summoned.","Sacrifices familiar to revive beastmaster."
3,1,243003,175,"ring of curing",0,"rings of curing",0,0,1,0,0,"Ring of Curing","Recovers 25% of maximum HP at the end of battles.","Recovers HP after battles."
4,1,243004,35,"chemist's satchel",0,"chemist's satchels",0,0,1,0,0,"Chemist's Satchel","Procures one random beast potion upon resting at campsites.","Grants beast potions at campsites."
5,1,243005,56,"hexed hat",0,"hexed hats",0,0,1,0,0,"Hexed Hat","Magic Vulnerability -10%","Reduces magic damage taken."
6,1,243006,63,"suit of steel armor",0,"suits of steel armor",0,0,1,0,0,"Steel Armor","Physical Vulnerability -15%","Reduces physical damage taken."
7,1,243007,190,"crown of the wild",0,"crowns of the wild",0,0,1,0,0,"Crown of the Wild","Physical Damage Dealt +10%
Critical Hit Rate +3%
※Effects also apply to summoned familiar.","Increases physical damage dealt and critical hit rate. Familiar-friendly."
8,1,243008,190,"staff of the wise",0,"staves of the wise",0,0,1,0,0,"Staff of the Wise","Magic Damage Dealt +20%
※Effects also apply to summoned familiar.","Increases magic damage dealt. Familiar-friendly."
9,1,243009,174,"power armlet",0,"power armlets",0,0,1,0,0,"Power Armlet","Physical Damage Dealt +12%
Evasion +3%","Increases physical damage dealt and evasion."
10,1,243010,84,"twisted headband",0,"twisted headbands",0,0,1,0,0,"Twisted Headband","Physical Damage Dealt +5%
Physical Vulnerability -5%","Increases physical damage dealt. Reduces physical damage taken."
11,1,243011,174,"green beret",0,"green berets",0,0,1,0,0,"Green Beret","Critical Hit Power +35
Damage Dealt +3%
Maximum HP +7%","Increases critical hit power, damage dealt, and maximum HP."
