key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
#,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,int32,byte,byte,byte,uint32,uint16,byte,uint16,str,str,str,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,byte,byte,byte,byte,byte
0,0,0,0,1,0,0,0,0,"","","",False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0
1,47,1,42,3,242001,45187,0,0,"Hailing from Ilsabard and once populous in Landis, these carnivorous beasts were driven to near extinction upon Garlean occupation. Most believe the rare sighting to be merely phantoms of the past, but still are Cu Sith remembered as deeply loyal and affectionate companions.","Delivers a slashing physical attack.","Delivers a sixfold slashing physical attack.",False,False,False,False,False,False,False,False,False,False,False,100,91,100,79,100
2,48,1,35,3,242002,48643,1,54,"Squirrels bear overdeveloped incisors and can be found scurrying about every corner of the land. While prolific pests of orchards and grain stores, these rodents are believed to be the fur-bound servants of the Matron, Nophica, and thus are often featured as motifs in art and carvings.","Deals fire-aspected damage.","Hastens allies.",False,False,False,False,False,False,False,False,False,False,False,91,100,91,91,91
3,49,1,21,4,242003,45188,1,30,"Sheep were domesticated during the Age of Endless Frost and have since been selectively bred to produce abundant and fluffy wool. While wild sheep are not unheard of, errant specimens with bells affixed to their necks are likely escapees of nearby farms.","Delivers a blunt physical attack.","Puts enemies to sleep and improves sleep resistance of allies.",False,False,False,False,False,False,False,True,False,False,False,82,82,82,82,82
4,50,5,45,2,242004,48648,1,30,"All varieties of pugils possess an ancillary bladder which stores gas generated by the wavekin, allowing limited ""flight"" capabilities when coupled with its large fins. Due to their territorial nature, pugils will not be displaced from any river they claim as hunting grounds, voraciously snapping up fish with their long thin snouts.","Deals water-aspected damage.","Reduces magic vulnerability and improves paralysis resistance of allies.",False,False,False,False,False,False,False,False,False,False,False,100,100,100,100,100
5,52,1,18,3,242005,49696,1,57,"Opo-opos are forest-dwelling creatures that form colonies of several dozen animals headed by a single, dominant leader. They are social and exceptionally intelligent, making them the bane of farmers targeted by their mischief. However, these selfsame traits make opo-opos stout allies for those clever enough to tame them.","Delivers a blunt physical attack.","Deals unaspected damage that paralyzes enemy.",False,False,True,False,False,False,False,False,False,False,False,97,97,97,97,76
6,53,3,5,2,242006,48647,1,31,"These large, flightless cloudkin originated from the island of Mazlaya, and are now prized as poultry upon the mainland. However, dodos are notorious for spitting caustic secretions in self-defense, requiring venom glands to be removed upon domestication. Wild dodos boast myriad shades of plumage and can be found nearly anywhere.","Deals earth-aspected damage that blinds enemies.","Improves earth resistance and blind resistance of allies.",False,False,False,False,True,False,False,False,False,False,False,91,91,100,100,100
7,54,7,43,1,242007,48645,1,42,"The coblyn is a creature of startling appearance that skitters around in search of ore to strengthen its own shell. As the colors and types of ore vary from region to region, so too does the coblyn's appearance. Furthermore, its tentacle-like appendages are highly poisonous and must not be consumed under any circumstances.","Deals lightning-aspected damage.","Reduces physical vulnerability and improves poison resistance of allies.",False,False,False,True,False,False,False,False,False,False,False,100,100,91,100,100
