key,0,1,2
#,,,
int32,bit&01,str,str
0,True,"Willing Sacrifice I","Clear the board with 3 incapacitated familiars."
1,True,"Willing Sacrifice II","Clear the board with 2 incapacitated familiars."
2,True,"Willing Sacrifice III","Clear the board with 1 incapacitated familiar."
3,True,"No Beast Left Behind","Clear the board with no incapacitated familiars."
4,True,"Beast Squad I","Clear the board with a team of 6 or 7 familiars."
5,True,"Beast Squad II","Clear the board with a team of 4 or 5 familiars."
6,True,"Beast Squad III","Clear the board with a team of 1 to 3 familiars."
7,True,"Self-preservation","Clear the board with beastmaster HP at 100%."
8,True,"Selfless","Clear the board with all familiar HP at 100%."
9,False,"Infinity and Beyond I","Perform Universality at least 5 times."
10,False,"Infinity and Beyond II","Perform Universality at least 10 times."
11,False,"Infinity and Beyond III","Perform Universality at least 15 times."
12,True,"Unbeastable","Clear the board without being afflicted by Damage Down or Vulnerability Up."
13,True,"Nameday Attire","Clear the board without acquiring any beast gear."
14,True,"Walking Armory","Clear the board in possession of 10 pieces of beast gear."
15,True,"Economic Ethos","Clear the board without using crucible items."
16,True,"Habitual Hoarder","Clear the board in possession of 10 crucible items."
17,True,"Starve the Fever","Clear the board without feeding any familiars."
18,True,"Feed the Bold","Clear the board having fed your familiars at least 20 times."
19,True,"Coin Clutcher","Clear the board without spending territory tokens."
20,True,"Rolling in Riches","Clear the board in possession of at least 2,000 territory tokens."
21,True,"Sleepless Survival","Clear the board without resting at a campsite."
22,True,"Beastkin Gambit","Clear the board with a team of only beastkin."
23,True,"Vilekin Gambit","Clear the board with a team of only vilekin."
24,True,"Cloudkin Gambit","Clear the board with a team of only cloudkin."
25,True,"Seedkin Gambit","Clear the board with a team of only seedkin."
26,True,"Wavekin Gambit","Clear the board with a team of only wavekin."
27,True,"Scalekin Gambit","Clear the board with a team of only scalekin."
28,True,"Soulkin Gambit","Clear the board with a team of only soulkin."
29,True,"Ashkin Gambit","Clear the board with a team of only ashkin."
30,False,"First Degree","Clear the board under the first degree."
31,False,"Second Degree","Clear the board under the second degree."
32,False,"Third Degree","Clear the board under the third degree."
