key,0,1
#,,
int32,str,str
0,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_000","Amongst other personal effects, you find what is presumably the director's data tablet. A closed locker stands next to the table."
1,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_Q1_000_000","What will you do?"
2,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_A1_000_001","Examine the data tablet."
3,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_A1_000_002","Search the locker."
4,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_001","Upon activating the device, a newly accessible section, titled “Memory Duplication,” catches your eye."
5,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_Q2_000_000","Which section will you read?"
6,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_A2_000_001","Daily reports."
7,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_A2_000_002","Shutdown protocols."
8,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_A2_000_003","Cancel."
9,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_A2_000_004","Memory duplication."
10,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_002","(-General Daily Report-)<Emphasis>Nothing of note. The mystery of the key's activation condition remains unsolved.</Emphasis>"
11,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_003","(-General Daily Report-)<Emphasis>The key triggered an explosion today. Temporary interdimensional portal verified. Continue attempts to stabilize the core's energy reactions.</Emphasis>"
12,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_004","(-General Daily Report-)<Emphasis>Thirteen researchers sustained fatal injuries in the explosion. Memory faculties of four personnel sufficiently intact for Endless conversion. Remaining nine designated for aether reclamation processing.</Emphasis>"
13,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_005","(-General Daily Report-)<Emphasis>Nothing of note. Rejected resignations of two Milalla researchers.</Emphasis>"
